,source,target,weight
0,3038,3184,1.0
1,3042,3184,3.0
2,3043,3184,1.0
3,3044,3184,2.0
4,3186,3184,2.0
5,3329,3184,1.0
6,7575,3184,1.0
7,328,5577,1.0
8,338,5577,1.0
9,603,5577,1.0
10,2734,5577,1.0
11,4720,5577,1.0
12,4869,5577,2.0
13,5291,5577,2.0
14,5572,5577,1.0
15,5576,5577,3.0
16,5578,5577,1.0
17,5718,5577,2.0
18,5856,5577,3.0
19,6717,5577,1.0
20,7716,5577,1.0
21,7986,5577,1.0
22,8128,5577,1.0
23,8139,5577,1.0
24,8551,5577,2.0
25,8696,5577,1.0
26,6118,7131,1.0
27,6282,7131,1.0
28,6988,7131,2.0
29,6989,7131,2.0
30,7135,7131,1.0
31,8268,7131,1.0
32,8697,7131,1.0
33,8698,7131,1.0
34,472,3042,1.0
35,620,3042,1.0
36,764,3042,1.0
37,1894,3042,2.0
38,2034,3042,1.0
39,2173,3042,2.0
40,2458,3042,1.0
41,2472,3042,2.0
42,2474,3042,1.0
43,2616,3042,1.0
44,2753,3042,1.0
45,2757,3042,1.0
46,2758,3042,1.0
47,2893,3042,3.0
48,2899,3042,6.0
49,2901,3042,3.0
50,2902,3042,4.0
51,2903,3042,1.0
52,3038,3042,1.0
53,3041,3042,1.0
54,3043,3042,1.0
55,3044,3042,3.0
56,3045,3042,1.0
57,3182,3042,1.0
58,3183,3042,1.0
59,3184,3042,1.0
60,3185,3042,5.0
61,3186,3042,11.0
62,3187,3042,4.0
63,3190,3042,2.0
64,3191,3042,2.0
65,3327,3042,5.0
66,3328,3042,3.0
67,3330,3042,3.0
68,3469,3042,3.0
69,3477,3042,1.0
70,3590,3042,4.0
71,3591,3042,2.0
72,3600,3042,1.0
73,3605,3042,1.0
74,3614,3042,1.0
75,3620,3042,1.0
76,3892,3042,2.0
77,3895,3042,2.0
78,4175,3042,1.0
79,4182,3042,2.0
80,4318,3042,2.0
81,4321,3042,1.0
82,4323,3042,1.0
83,4332,3042,4.0
84,4459,3042,2.0
85,4882,3042,1.0
86,4891,3042,1.0
87,5317,3042,2.0
88,6601,3042,1.0
89,7603,3042,2.0
90,7740,3042,1.0
91,9030,3042,1.0
92,9592,3042,1.0
93,13736,3042,1.0
94,2760,3189,1.0
95,2902,3189,1.0
96,3038,3189,1.0
97,3042,3189,1.0
98,3046,3189,1.0
99,3183,3189,1.0
100,3328,3189,1.0
101,3330,3189,1.0
102,3044,3481,2.0
103,3477,3481,3.0
104,5743,3481,1.0
105,5752,3481,2.0
106,176,748,1.0
107,755,748,1.0
