,grid_id,x,y,visitors
0,176,33.0,1.0,1
1,186,43.0,1.0,1
2,187,44.0,1.0,1
3,190,47.0,1.0,6
6,326,41.0,2.0,4
7,327,42.0,2.0,6
8,328,43.0,2.0,4
9,330,45.0,2.0,6
11,333,48.0,2.0,1
12,335,50.0,2.0,1
13,338,53.0,2.0,6
14,465,38.0,3.0,4
15,469,42.0,3.0,20
16,470,43.0,3.0,6
17,471,44.0,3.0,4
18,472,45.0,3.0,25
19,474,47.0,3.0,2
20,477,50.0,3.0,2
21,478,51.0,3.0,3
22,603,34.0,4.0,1
23,605,36.0,4.0,4
24,610,41.0,4.0,9
25,611,42.0,4.0,3
26,614,45.0,4.0,16
27,616,47.0,4.0,6
28,620,51.0,4.0,7
29,744,33.0,5.0,2
30,748,37.0,5.0,3
31,749,38.0,5.0,1
32,753,42.0,5.0,1
33,755,44.0,5.0,1
34,756,45.0,5.0,4
35,757,46.0,5.0,3
36,758,47.0,5.0,7
37,759,48.0,5.0,2
38,764,53.0,5.0,1
39,1035,40.0,7.0,1
40,1037,42.0,7.0,2
41,1041,46.0,7.0,4
42,1043,48.0,7.0,4
43,1050,55.0,7.0,4
44,1184,47.0,8.0,2
47,1336,57.0,9.0,5
48,1474,53.0,10.0,3
49,1617,54.0,11.0,1
50,1743,38.0,12.0,2
51,1744,39.0,12.0,6
52,1750,45.0,12.0,2
53,1759,54.0,12.0,1
54,1885,38.0,13.0,2
55,1890,43.0,13.0,2
56,1894,47.0,13.0,5
57,1901,54.0,13.0,5
58,1902,55.0,13.0,1
59,2034,45.0,14.0,9
60,2045,56.0,14.0,3
61,2048,59.0,14.0,1
62,2049,60.0,14.0,3
63,2165,34.0,15.0,3
64,2172,41.0,15.0,2
65,2173,42.0,15.0,23
66,2176,45.0,15.0,1
67,2178,47.0,15.0,6
68,2184,53.0,15.0,5
69,2187,56.0,15.0,1
70,2191,60.0,15.0,2
71,2192,61.0,15.0,1
72,2454,39.0,17.0,1
73,2457,42.0,17.0,1
74,2458,43.0,17.0,7
75,2461,46.0,17.0,4
76,2472,57.0,17.0,8
77,2473,58.0,17.0,2
78,2474,59.0,17.0,2
79,2592,35.0,18.0,1
80,2599,42.0,18.0,4
81,2603,46.0,18.0,2
82,2616,59.0,18.0,8
83,2618,61.0,18.0,1
84,2621,64.0,18.0,1
85,2734,35.0,19.0,4
86,2750,51.0,19.0,3
87,2751,52.0,19.0,1
88,2753,54.0,19.0,6
89,2754,55.0,19.0,1
90,2757,58.0,19.0,4
91,2758,59.0,19.0,16
92,2759,60.0,19.0,18
93,2760,61.0,19.0,3
94,2761,62.0,19.0,5
95,2762,63.0,19.0,5
96,2763,64.0,19.0,1
97,2881,40.0,20.0,1
98,2887,46.0,20.0,6
99,2888,47.0,20.0,8
100,2889,48.0,20.0,3
101,2893,52.0,20.0,7
102,2895,54.0,20.0,3
103,2898,57.0,20.0,1
104,2899,58.0,20.0,18
105,2900,59.0,20.0,8
106,2901,60.0,20.0,19
107,2902,61.0,20.0,44
108,2903,62.0,20.0,21
109,2904,63.0,20.0,3
110,2907,66.0,20.0,1
111,3030,47.0,21.0,1
112,3035,52.0,21.0,2
113,3038,55.0,21.0,6
114,3040,57.0,21.0,8
115,3041,58.0,21.0,6
116,3042,59.0,21.0,120
117,3043,60.0,21.0,18
118,3044,61.0,21.0,41
119,3045,62.0,21.0,7
120,3046,63.0,21.0,3
121,3168,43.0,22.0,2
122,3180,55.0,22.0,3
123,3182,57.0,22.0,12
124,3183,58.0,22.0,7
125,3184,59.0,22.0,11
126,3185,60.0,22.0,20
127,3186,61.0,22.0,58
128,3187,62.0,22.0,18
129,3189,64.0,22.0,8
130,3190,65.0,22.0,9
131,3191,66.0,22.0,12
132,3192,67.0,22.0,10
133,3302,35.0,23.0,9
135,3318,51.0,23.0,8
136,3322,55.0,23.0,1
137,3323,56.0,23.0,2
138,3327,60.0,23.0,20
139,3328,61.0,23.0,9
140,3329,62.0,23.0,9
141,3330,63.0,23.0,18
142,3332,65.0,23.0,3
143,3334,67.0,23.0,4
144,3335,68.0,23.0,1
145,3338,71.0,23.0,1
146,3339,72.0,23.0,1
147,3448,39.0,24.0,10
148,3450,41.0,24.0,5
149,3457,48.0,24.0,1
150,3469,60.0,24.0,3
151,3471,62.0,24.0,6
152,3472,63.0,24.0,2
153,3477,68.0,24.0,29
154,3481,72.0,24.0,8
155,3482,73.0,24.0,1
156,3590,39.0,25.0,35
157,3591,40.0,25.0,7
158,3594,43.0,25.0,1
159,3599,48.0,25.0,1
160,3600,49.0,25.0,5
161,3605,54.0,25.0,5
162,3607,56.0,25.0,1
163,3609,58.0,25.0,3
164,3613,62.0,25.0,1
165,3614,63.0,25.0,3
166,3615,64.0,25.0,7
167,3617,66.0,25.0,2
168,3620,69.0,25.0,1
169,3622,71.0,25.0,1
170,3873,38.0,27.0,4
171,3892,57.0,27.0,7
172,3893,58.0,27.0,1
173,3894,59.0,27.0,1
174,3895,60.0,27.0,3
175,3899,64.0,27.0,4
176,3901,66.0,27.0,1
177,3906,71.0,27.0,1
178,4034,57.0,28.0,1
179,4040,63.0,28.0,2
180,4042,65.0,28.0,2
181,4047,70.0,28.0,1
182,4175,56.0,29.0,1
183,4181,62.0,29.0,8
184,4182,63.0,29.0,6
185,4185,66.0,29.0,1
186,4189,70.0,29.0,1
187,4294,33.0,30.0,5
188,4315,54.0,30.0,1
189,4318,57.0,30.0,3
190,4321,60.0,30.0,6
191,4323,62.0,30.0,4
192,4325,64.0,30.0,4
193,4329,68.0,30.0,1
194,4332,71.0,30.0,8
195,4447,44.0,31.0,2
196,4459,56.0,31.0,3
197,4465,62.0,31.0,2
198,4467,64.0,31.0,1
199,4586,41.0,32.0,2
200,4610,65.0,32.0,1
201,4720,33.0,33.0,4
202,4746,59.0,33.0,4
203,4869,40.0,34.0,1
204,4882,53.0,34.0,8
205,4885,56.0,34.0,3
206,4891,62.0,34.0,11
207,4902,73.0,34.0,1
208,5003,32.0,35.0,2
210,5043,72.0,35.0,1
211,5045,74.0,35.0,4
212,5291,36.0,37.0,2
213,5309,54.0,37.0,3
214,5315,60.0,37.0,6
215,5316,61.0,37.0,9
216,5317,62.0,37.0,13
218,5319,64.0,37.0,1
219,5325,70.0,37.0,1
220,5327,72.0,37.0,1
221,5328,73.0,37.0,5
222,5433,36.0,38.0,2
223,5435,38.0,38.0,1
224,5436,39.0,38.0,4
225,5439,42.0,38.0,2
226,5446,49.0,38.0,1
227,5459,62.0,38.0,10
228,5462,65.0,38.0,1
229,5463,66.0,38.0,1
230,5469,72.0,38.0,1
231,5470,73.0,38.0,20
232,5473,76.0,38.0,6
233,5569,30.0,39.0,3
234,5572,33.0,39.0,6
235,5575,36.0,39.0,1
236,5576,37.0,39.0,12
237,5577,38.0,39.0,27
238,5578,39.0,39.0,6
239,5603,64.0,39.0,1
240,5608,69.0,39.0,2
241,5611,72.0,39.0,4
242,5614,75.0,39.0,2
243,5615,76.0,39.0,6
244,5617,78.0,39.0,4
245,5705,24.0,40.0,8
246,5717,36.0,40.0,2
247,5718,37.0,40.0,8
248,5719,38.0,40.0,10
249,5730,49.0,40.0,1
250,5743,62.0,40.0,1
251,5745,64.0,40.0,2
252,5750,69.0,40.0,2
