source, target
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
1,2
1,5
1,6
1,7
1,8
1,167
1,168
1,12
1,15
1,20
1,169
1,170
1,171
1,29
1,172
1,173
1,35
1,174
1,175
1,176
1,177
1,50
1,178
1,56
1,61
1,179
1,180
1,181
1,63
1,182
1,66
1,77
1,183
1,184
1,185
1,186
1,187
1,188
1,189
1,84
1,190
1,191
1,192
1,89
1,193
1,194
1,195
1,196
1,197
1,198
1,199
1,200
1,201
1,202
1,203
1,204
1,205
1,206
1,207
1,208
1,209
1,210
1,211
1,212
1,213
1,214
1,215
1,216
1,217
1,218
1,219
1,220
1,221
1,222
1,223
1,224
1,225
1,226
1,227
1,228
1,229
1,230
1,231
1,232
1,233
1,234
1,235
1,236
1,128
1,237
1,238
1,131
1,239
1,240
1,241
1,242
1,243
1,244
1,245
1,246
1,142
1,247
1,248
1,249
1,250
1,251
1,252
1,253
1,254
1,255
1,256
2,3
2,257
2,258
2,9
2,12
2,14
2,259
2,16
2,19
2,28
2,260
2,33
2,34
2,39
2,43
2,261
2,48
2,262
2,54
2,55
2,182
2,263
2,68
2,264
2,75
2,186
2,265
2,266
2,267
2,268
2,269
2,87
2,270
2,95
2,96
2,271
2,98
2,272
2,273
2,102
2,274
2,275
2,109
2,115
2,116
2,276
2,277
2,278
2,279
2,280
2,127
2,281
2,282
2,283
2,140
2,154
2,158
2,165
2,284
2,285
3,0
3,2
3,286
3,287
4,0
4,3
4,257
4,288
4,289
5,1
5,319
6,0
6,1
6,3
6,4
6,5
6,7
6,258
6,10
6,20
6,170
6,320
6,173
6,33
6,37
6,321
6,44
6,180
6,182
6,322
6,323
6,214
6,219
6,223
6,231
6,311
6,149
7,0
7,3
7,4
7,5
7,6
7,258
7,8
7,12
7,259
7,21
7,169
7,27
7,174
7,324
7,262
7,325
7,178
7,326
7,327
7,189
7,328
7,329
7,330
7,331
7,332
8,0
8,1
8,5
8,6
8,172
8,320
8,42
8,335
8,177
8,51
8,336
8,337
8,316
8,338
8,84
8,334
8,339
9,0
9,5
9,6
9,29
9,172
9,340
9,248
9,249
9,250
11,5
11,190
12,5
12,177
12,51
13,51
13,120
14,0
14,3
14,4
14,5
14,258
14,10
14,259
14,20
14,173
14,365
14,44
14,179
14,366
14,183
14,367
14,277
14,368
14,369
14,370
14,313
15,0
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,12
15,16
15,172
15,378
15,33
15,177
15,379
15,186
15,371
15,216
15,223
15,228
15,380
15,139
15,381
15,251
15,252
15,253
15,255
15,382
16,258
16,14
16,15
16,21
16,325
16,383
16,384
16,385
16,386
16,272
16,273
16,387
16,388
16,276
16,389
16,390
16,391
16,392
16,393
16,394
16,395
16,396
18,5
18,175
18,37
18,185
18,402
18,89
19,5
19,180
21,0
21,258
21,173
22,5
22,6
22,7
22,8
22,12
22,30
22,40
22,403
22,207
22,229
22,404
22,405
22,406
23,5
23,6
23,286
23,174
23,38
23,341
23,409
23,342
24,0
24,6
24,8
24,12
24,20
24,170
24,27
24,173
24,413
24,235
24,134
24,147
25,7
25,8
