source, target, width, color
1,328,5.58365202,"#727272
"
4,475,6.357879162,"#7b7b7b
"
6,69,5.709767818,"#737373
"
8,18,5.119341373,"#6c6c6c
"
8,9,3.721232414,"#545454
"
10,480,8.915810585,"#949494
"
10,665,5.962564945,"#767676
"
10,714,6.187085629,"#797979
"
10,29,5.994235516,"#777777
"
11,574,5.808172226,"#747474
"
11,723,5.452445984,"#707070
"
11,287,5.675835133,"#737373
"
11,158,5.504758835,"#717171
"
11,580,5.507586479,"#717171
"
12,282,5.890175819,"#757575
"
12,545,5.675269604,"#737373
"
13,712,5.399850368,"#707070
"
13,124,5.538125515,"#717171
"
13,10,6.250991821,"#797979
"
13,481,6.0731287,"#777777
"
15,287,5.725320339,"#737373
"
17,14,5.725603104,"#737373
"
17,152,7.755899906,"#8b8b8b
"
18,353,5.533035755,"#717171
"
18,344,5.869533539,"#757575
"
18,630,5.692518711,"#737373
"
19,285,5.527663231,"#717171
"
19,378,5.409464836,"#707070
"
19,177,5.800819874,"#747474
"
20,21,5.704960823,"#737373
"
20,277,6.247033119,"#797979
"
20,89,6.215362549,"#797979
"
22,287,5.787529945,"#747474
"
22,574,6.236570358,"#797979
"
22,163,5.711181641,"#737373
"
22,158,5.787529945,"#747474
"
22,579,5.359131336,"#6f6f6f
"
23,269,5.733237743,"#737373
"
24,415,4.704472542,"#666666
"
24,48,5.542084217,"#717171
"
24,533,6.131379604,"#787878
"
24,277,6.281530857,"#7a7a7a
"
24,416,3.471834898,"#4f4f4f
"
24,21,7.309969902,"#868686
"
25,726,4.942426682,"#6a6a6a
"
26,73,7.59641695,"#898989
"
26,25,6.257778168,"#7a7a7a
"
27,578,7.197426796,"#848484
"
27,47,7.630915165,"#898989
"
27,240,11.26269913,"#a3a3a3
"
27,30,17.30233765,"#c7c7c7
"
27,35,1,"#dcdcdc
"
28,27,18.07249069,"#cbcbcb
"
28,578,9.116264343,"#959595
"
28,30,13.21584129,"#b0b0b0
"
28,35,16.17859459,"#c1c1c1
"
28,240,12.70060158,"#adadad
"
28,47,7.674461842,"#8a8a8a
"
29,238,6.950284958,"#828282
"
29,234,6.999486923,"#828282
"
29,236,7.34446764,"#868686
"
29,578,7.348144054,"#868686
"
29,31,10.94018745,"#a1a1a1
"
29,33,12.30019188,"#aaaaaa
"
29,34,9.930480003,"#9a9a9a
"
29,233,10.29169273,"#9d9d9d
"
29,241,6.388418674,"#7b7b7b
"
29,30,17.4392662,"#c8c8c8
"
29,240,7.443154812,"#878787
"
29,232,7.536752224,"#888888
"
29,28,12.30664253,"#aaaaaa
"
29,235,14.12350178,"#b5b5b5
"
29,35,15.2287569,"#bbbbbb
"
29,32,14.89365578,"#b9b9b9
"
29,27,16.18552589,"#c1c1c1
"
30,480,5.361110687,"#6f6f6f
"
30,578,9.95082283,"#9b9b9b
"
30,47,7.845820904,"#8c8c8c
"
30,240,8.981305122,"#949494
"
31,33,18.73113632,"#cfcfcf
"
31,27,14.49904537,"#b7b7b7
"
31,241,11.76184654,"#a7a7a7
"
31,704,6.065776825,"#777777
"
31,28,14.4730463,"#b7b7b7
"
31,35,12.27191067,"#aaaaaa
"
31,47,9.509231567,"#989898
"
31,240,9.401561737,"#979797
"
31,160,6.375411034,"#7b7b7b
"
31,30,10.97789669,"#a1a1a1
"
31,578,7.283671856,"#858585
"
32,28,18.08751297,"#cccccc
"
32,241,10.08478928,"#9b9b9b
"
32,578,8.36307621,"#909090
"
32,47,8.321894646,"#909090
"
32,160,5.87151289,"#757575
"
32,27,16.71822166,"#c4c4c4
"
32,35,15.16000271,"#bbbbbb
"
32,30,12.79487419,"#adadad
"
32,240,10.48768044,"#9e9e9e
"
32,31,19.52382278,"#d4d4d4
"
32,33,19.52382278,"#d4d4d4
"
33,30,12.80926323,"#adadad
"
33,35,15.16000271,"#bbbbbb
"
33,47,8.788294792,"#939393
"
33,240,11.01610184,"#a2a2a2
"
33,28,18.42723465,"#cdcdcd
"
33,578,7.208455086,"#858585
"
33,27,19.41636086,"#d3d3d3
"
34,28,15.63723278,"#bebebe
"
34,233,15.09240532,"#bbbbbb
"
34,33,12.95910645,"#aeaeae
"
34,31,11.66459751,"#a6a6a6
"
34,160,5.833621502,"#757575
"
34,241,7.162645817,"#848484
"
34,47,8.298078537,"#909090
"
34,578,8.799707413,"#939393
"
34,30,8.899933815,"#949494
"
34,240,9.222444534,"#969696
"
34,35,10.3755455,"#9d9d9d
"
34,27,11.21804333,"#a3a3a3
"
34,32,16.22481537,"#c1c1c1
"
34,285,5.620411873,"#727272
"
35,578,8.068847656,"#8e8e8e
"
35,47,8.045031548,"#8e8e8e
"
35,240,7.81924057,"#8c8c8c
"
35,30,17.70676804,"#c9c9c9
"
36,38,6.600214005,"#7e7e7e
"
36,40,7.271512985,"#858585
"
39,38,2.951334953,"#454545
"
39,37,2.505986929,"#343434
"
40,379,4.762235641,"#676767
"
42,41,4.172436714,"#5c5c5c
"
42,40,3.389731646,"#4e4e4e
"
43,42,3.893431187,"#575757
"
44,177,5.531904697,"#717171
"
45,44,3.77917695,"#555555
"
46,239,6.813140869,"#808080
"
46,28,6.420654297,"#7b7b7b
"
46,236,6.388701439,"#7b7b7b
"
46,399,5.982924461,"#767676
"
46,32,5.798274994,"#747474
"
46,177,5.782722473,"#747474
"
46,234,5.774522305,"#747474
"
46,285,5.72729969,"#737373
"
46,47,5.719947338,"#737373
"
46,31,6.085853577,"#787878
"
46,659,5.658020496,"#737373
"
46,19,5.692518711,"#737373
"
46,237,9.915595055,"#9a9a9a
"
46,530,4.687761307,"#656565
"
46,704,7.997103691,"#8e8e8e
"
46,235,7.880036354,"#8c8c8c
"
46,233,7.88229847,"#8c8c8c
"
46,34,8.238537788,"#8f8f8f
"
46,238,9.671479225,"#999999
"
46,578,7.060565472,"#838383
"
46,232,7.120230198,"#848484
"
47,578,9.05821228,"#959595
"
48,483,12.0476408,"#a8a8a8
"
48,277,5.692518711,"#737373
"
48,52,8.664252281,"#929292
"
48,430,5.879430294,"#757575
"
48,53,10.16814613,"#9c9c9c
"
48,577,9.165881157,"#959595
"
49,574,7.073007584,"#838383
"
49,482,7.238711357,"#858585
"
49,452,5.953516483,"#767676
"
49,159,6.036651134,"#777777
"
49,579,7.364827156,"#868686
"
49,287,9.967693329,"#9b9b9b
"
49,708,5.695911884,"#737373
"
49,580,5.950971603,"#767676
"
49,431,5.52229023,"#717171
"
49,284,5.52229023,"#717171
"
49,420,5.650951385,"#737373
"
49,158,5.607970238,"#727272
"
49,752,5.280238152,"#6e6e6e
"
49,408,5.41738224,"#707070
"
49,347,11.7429924,"#a6a6a6
"
50,287,7.990882874,"#8e8e8e
"
50,579,7.480763435,"#888888
"
50,51,9.861512184,"#9a9a9a
"
50,400,7.576905727,"#898989
"
50,54,5.429258823,"#707070
"
50,482,5.945599079,"#767676
"
51,323,7.637418747,"#8a8a8a
"
52,101,5.390519142,"#707070
"
52,441,4.552254677,"#636363
"
52,577,12.87426186,"#aeaeae
"
52,430,6.550729275,"#7d7d7d
"
52,483,7.593306541,"#898989
"
52,53,10.71939182,"#a0a0a0
"
53,483,16.55933762,"#c3c3c3
"
53,430,7.407526016,"#878787
"
54,287,10.29566193,"#9d9d9d
"
54,574,7.154445648,"#848484
"
54,482,5.945599079,"#767676
"
54,420,5.818351746,"#747474
"
54,103,3.753020287,"#555555
"
56,63,3.568106413,"#515151
"
60,61,3.164492846,"#4a4a4a
"
62,61,3.301452637,"#4c4c4c
"
64,258,2.890632391,"#434343
"
66,351,6.873371124,"#818181
"
66,282,6.252688408,"#797979
"
