source, target
0,2
0,4
1,3
1,4
1,8
2,0
2,7
2,8
3,1
3,5
4,0
4,1
4,6
4,8
4,9
4,17
5,2
5,3
5,6
5,8
5,9
5,10
5,13
5,17
5,18
6,4
6,9
6,10
6,13
6,14
7,2
7,19
8,1
8,4
8,6
8,14
8,17
9,0
9,1
9,5
9,6
9,13
9,17
10,1
11,0
11,1
11,5
11,9
11,13
11,17
11,18
12,0
12,1
12,2
12,5
12,6
12,9
12,10
12,17
12,18
12,19
13,2
13,4
13,6
13,7
13,8
13,12
13,13
14,6
14,8
15,0
15,4
15,13
15,17
16,0
16,1
17,0
17,1
17,4
17,5
17,6
17,8
18,0
18,2
18,3
18,6
18,7
18,8
18,11
19,1
19,2
19,3
19,5
19,6
19,7
19,10
20,0
20,1
20,3
21,8
22,8
24,1
25,0
25,2
25,8
26,1
26,3
27,0
27,1
27,3
27,5
27,8
27,9
27,11
27,17
27,19
28,0
28,2
28,3
28,9
28,11
28,17
29,1
29,10
29,13
30,1
30,7
30,8
30,13
30,17
30,18
30,19
31,5
31,6
31,9
31,11
31,13
31,18
32,3
32,5
32,6
32,10
32,13
32,18
32,19
33,14
34,6
34,14
35,14
36,14
37,14
38,14
45,15
45,16
52,8
53,2
53,8
54,3
55,6
55,9
55,13
55,14
56,6
56,10
56,12
56,13
56,14
57,62
57,73
57,74
57,83
57,140
58,74
58,105
58,151
58,192
59,67
59,75
59,142
59,158
59,159
59,243
60,143
60,157
60,444
61,65
61,79
61,148
61,158
62,57
62,58
62,68
62,70
62,76
62,78
62,149
62,151
62,155
62,159
62,444
63,57
63,61
63,79
63,141
63,142
63,243
64,58
64,62
64,66
64,73
64,74
64,76
64,123
64,140
64,143
64,149
64,151
65,61
65,67
65,69
65,71
65,78
65,79
65,170
65,444
65,445
66,62
66,70
66,84
66,147
66,149
66,163
66,169
66,444
67,58
67,61
67,65
67,68
67,71
67,72
67,74
67,79
67,140
67,141
67,149
67,154
68,57
68,58
68,62
68,64
68,66
68,67
68,71
68,72
68,73
68,74
68,75
68,76
68,79
68,80
68,141
68,148
68,149
68,151
68,155
68,159
69,57
69,65
69,77
69,83
69,147
69,152
69,154
69,181
70,62
70,66
70,67
70,70
70,74
70,78
70,81
70,84
70,143
70,144
70,147
70,149
70,155
70,169
70,172
70,205
71,61
71,68
71,69
71,71
71,72
71,73
71,120
71,141
71,148
71,154
71,424
72,62
72,67
72,68
72,70
72,140
72,141
72,147
72,149
72,182
73,57
73,58
73,65
73,67
73,68
73,74
73,79
73,125
73,141
73,148
73,151
74,57
74,58
74,67
74,68
74,69
74,70
74,73
74,80
74,148
74,151
74,154
74,155
74,186
75,57
75,59
75,63
75,68
75,77
75,142
75,158
75,444
76,59
76,60
76,143
76,151
76,159
76,170
76,444
77,61
77,65
77,79
77,83
77,147
77,183
77,185
77,444
77,445
78,58
78,66
78,68
78,70
78,74
78,78
78,80
78,147
78,161
78,163
78,168
78,169
78,172
78,184
78,185
78,196
78,217
78,444
79,68
79,69
79,77
79,90
79,160
79,181
79,183
79,444
80,58
80,68
80,76
80,78
80,80
80,84
80,119
80,123
80,146
80,151
80,163
80,170
80,186
80,187
80,217
80,249
80,444
81,70
81,82
81,91
81,140
81,144
81,153
81,180
81,182
81,210
81,427
82,81
82,83
82,91
82,118
82,141
82,144
82,147
82,149
82,152
82,179
82,181
82,204
82,425
83,69
83,77
83,83
83,91
83,101
83,116
83,122
83,126
83,141
83,142
83,145
83,147
83,152
83,160
83,176
83,181
83,183
83,204
84,70
84,80
84,81
84,105
84,117
84,119
84,121
84,125
84,137
84,141
84,143
84,146
84,147
84,153
84,161
84,163
84,172
84,182
84,184
84,209
84,231
84,237
85,181
85,243
85,244
85,247
86,105
86,182
86,184
86,192
86,243
86,246
86,254
87,248
88,190
88,249
89,90
89,93
89,165
89,213
91,82
91,101
91,147
91,170
91,171
91,172
91,186
91,204
91,218
92,174
92,175
92,176
92,200
93,89
93,90
93,93
93,104
93,120
93,142
93,162
93,164
93,176
93,197
93,208
93,255
94,84
94,165
94,184
95,96
95,193
95,197
96,106
99,89
99,100
99,104
99,105
99,185
99,212
99,218
100,99
100,105
100,197
100,258
100,268
101,89
101,90
101,91
101,96
101,99
101,100
101,106
101,107
101,108
101,109
101,112
101,113
101,147
101,152
101,154
101,155
101,170
101,181
101,182
101,186
101,193
101,213
101,217
101,218
101,266
101,310
102,279
104,99
104,104
104,105
104,116
104,128
104,136
104,164
104,256
105,86
105,95
105,99
105,100
105,104
105,117
105,129
105,146
105,165
105,184
105,231
106,96
106,101
106,193
106,216
106,217
106,218
107,96
107,106
107,167
107,193
107,216
108,109
108,177
109,108
109,112
109,113
110,92
110,108
110,109
110,111
110,173
111,108
111,109
111,110
112,111
112,113
112,178
113,111
113,112
113,304
114,114
114,120
114,134
115,135
116,74
116,83
116,104
116,118
116,132
116,136
116,144
116,244
116,256
117,67
117,105
117,129
117,144
117,146
117,184
118,144
119,123
119,139
119,144
119,224
119,233
120,59
120,83
120,93
120,104
120,128
120,130
120,141
120,142
120,144
120,145
120,156
120,176
120,183
120,187
120,188
120,204
120,209
120,233
120,255
121,84
121,94
121,105
121,115
121,120
121,121
121,123
121,125
121,129
121,146
121,156
121,188
121,234
122,93
122,104
122,126
122,128
122,144
122,156
122,179
122,187
122,205
122,223
122,229
122,238
122,245
123,57
123,58
123,76
123,80
123,81
123,94
123,105
123,127
123,129
123,143
123,144
123,146
123,156
123,163
123,165
123,205
123,244
123,249
124,101
124,120
124,128
124,130
124,145
124,154
124,179
125,121
125,135
125,156
125,161
125,222
126,122
