source, target
3,2
4,2
4,3
10,9
11,5
11,6
16,9
18,2
18,10
19,18
20,14
21,0
22,19
24,19
25,15
27,1
28,6
28,11
30,19
31,19
31,24
31,25
31,27
32,25
32,27
32,31
33,30
35,1
35,15
35,19
35,24
35,31
35,32
36,9
37,10
37,19
37,24
37,25
40,38
41,4
41,13
44,24
44,25
44,31
44,35
45,10
46,30
47,28
48,11
49,8
49,19
49,24
49,37
50,19
50,30
50,33
50,46
51,0
51,19
51,35
51,49
52,1
52,19
52,24
52,27
52,31
52,32
52,35
52,37
52,49
53,5
53,11
55,23
56,1
56,14
56,19
56,20
56,24
56,31
56,35
56,37
56,52
58,57
59,57
60,57
60,58
61,24
61,37
61,54
61,56
62,15
62,34
63,19
63,22
63,30
63,33
63,46
63,50
65,64
66,19
66,37
66,50
66,51
66,63
67,42
68,13
68,41
69,19
69,30
69,50
69,63
69,66
70,17
70,44
70,55
71,37
71,66
71,69
72,0
72,21
72,51
73,19
73,22
73,30
73,50
73,63
73,66
73,69
74,30
74,50
74,63
74,66
74,69
74,73
75,6
77,19
77,37
77,51
77,66
77,71
77,76
78,44
79,19
79,37
79,63
79,66
79,71
79,77
82,19
82,63
82,66
82,73
82,77
83,19
83,22
83,30
83,50
83,63
83,66
83,69
83,73
83,74
83,79
84,60
84,66
85,44
85,78
87,44
87,48
88,1
88,19
88,25
88,27
88,37
88,56
89,17
90,0
90,15
90,35
90,44
90,51
90,60
90,66
90,72
90,77
91,1
91,19
91,24
91,25
91,27
91,31
91,35
91,37
91,44
91,49
91,51
91,52
91,56
91,88
91,90
92,76
92,77
93,19
93,30
93,46
93,50
93,63
93,73
93,74
93,83
95,94
96,94
96,95
97,94
97,95
97,96
98,15
98,17
98,25
98,35
98,44
98,70
98,90
98,91
98,95
100,95
100,96
101,49
102,94
102,100
103,15
104,94
104,96
105,25
105,88
106,25
106,88
106,105
108,99
109,94
109,95
109,96
109,104
110,99
110,108
111,7
111,9
111,10
112,25
112,88
112,95
112,96
112,97
112,105
112,106
113,91
113,98
114,32
114,98
115,8
115,25
115,88
115,95
115,96
115,101
115,105
115,106
115,112
116,25
116,31
116,32
116,44
116,88
116,90
116,91
116,98
118,91
118,113
119,25
119,88
119,95
119,96
119,98
119,105
119,106
119,112
119,115
121,25
121,55
121,88
121,105
121,106
121,112
121,115
121,119
122,25
122,88
122,95
122,96
122,98
122,105
122,106
122,112
122,115
122,116
122,119
122,121
125,98
125,116
125,121
126,25
126,88
126,105
126,106
126,112
126,115
126,119
126,121
126,122
127,15
127,25
127,88
127,91
127,98
127,105
127,106
127,112
127,115
127,116
127,119
127,121
127,122
127,126
128,8
128,101
128,115
129,120
131,72
131,118
131,127
132,8
132,9
132,10
132,86
132,101
132,111
132,123
132,124
132,128
133,25
133,88
133,95
133,105
133,106
133,112
133,115
133,119
133,121
133,122
133,126
133,127
133,128
134,25
134,32
134,88
134,98
134,105
134,106
134,112
134,115
134,116
134,119
134,121
134,122
134,126
134,127
134,133
135,25
135,31
135,32
135,35
135,44
135,52
135,70
135,90
135,91
135,98
135,116
135,125
136,25
136,31
136,44
136,88
136,105
136,121
136,122
136,127
136,133
136,134
137,15
137,25
137,31
137,32
137,35
137,44
137,51
137,88
137,90
137,91
137,98
137,105
137,106
137,112
137,115
137,116
137,119
137,121
137,122
137,126
137,127
137,133
137,134
137,135
137,136
138,15
138,25
138,44
138,88
138,90
138,122
138,127
138,134
138,136
138,137
139,25
139,27
139,44
139,70
139,78
139,85
139,98
139,116
139,125
139,127
139,135
140,132
141,116
141,140
142,1
142,31
142,32
142,52
142,88
142,91
142,139
143,27
143,142
144,27
144,91
144,98
144,103
144,113
144,118
144,125
144,142
144,143
145,91
145,118
145,144
146,25
146,29
146,88
146,105
146,106
146,112
146,115
146,119
146,121
146,122
146,126
146,127
146,133
146,134
146,136
146,137
146,138
147,116
148,15
148,25
148,44
148,88
148,90
148,91
148,98
148,105
148,106
148,112
148,115
148,116
148,119
148,121
148,122
148,126
148,127
148,133
148,134
148,135
148,136
148,137
148,138
148,144
148,146
151,99
151,108
151,110
153,94
153,96
153,102
153,104
153,132
154,94
154,95
154,96
154,97
154,112
155,97
155,153
155,154
156,44
156,90
156,116
156,127
156,131
156,137
156,148
157,32
157,135
157,139
158,94
158,95
158,97
158,115
158,128
158,154
159,132
159,140
159,153
160,116
160,122
160,140
160,141
160,159
161,147
161,148
162,91
162,113
162,118
162,144
163,8
163,95
163,101
163,112
163,115
163,118
163,144
163,154
163,162
164,123
164,149
165,9
165,107
166,99
166,108
166,110
166,151
167,99
167,108
167,110
167,151
167,166
168,94
168,95
168,96
168,97
168,100
168,104
168,119
168,154
168,155
168,162
168,163
169,25
169,31
169,44
169,90
169,91
169,98
169,116
169,127
169,134
169,135
169,137
169,139
169,148
170,116
170,134
171,94
171,95
171,96
171,98
171,100
171,104
171,112
171,122
171,154
171,168
172,95
172,98
172,110
172,125
172,171
173,105
173,119
174,25
174,88
174,91
174,105
174,106
174,112
174,115
174,116
174,119
174,121
174,122
174,126
174,127
174,133
174,134
174,137
174,138
174,146
174,148
175,116
175,140
176,95
176,96
176,98
176,112
176,115
176,119
176,122
176,171
176,173
177,113
178,8
178,94
178,95
178,96
178,97
178,101
178,104
178,112
178,115
178,154
178,155
178,158
178,163
178,168
179,44
179,95
179,98
179,116
179,137
179,141
179,148
179,169
180,90
180,98
180,118
180,176
181,94
181,95
181,96
181,97
181,100
181,104
181,109
181,112
181,115
181,117
181,133
181,154
181,155
181,158
181,163
181,168
181,171
181,176
181,178
182,94
182,95
182,96
182,97
182,102
182,104
182,153
182,155
182,158
182,168
182,181
183,96
183,100
183,130
183,153
183,178
184,25
184,88
184,95
184,105
184,106
184,112
184,115
184,119
184,121
184,122
184,126
184,127
184,133
184,134
184,137
184,146
184,148
184,174
184,181
185,25
185,44
185,91
185,116
185,134
185,148
185,160
185,169
186,94
186,95
186,96
186,97
186,100
186,102
186,104
186,109
186,112
186,119
186,153
186,154
186,155
186,158
186,168
186,171
186,178
186,181
186,182
187,94
187,95
187,96
187,97
187,98
187,100
187,104
187,109
187,112
187,115
187,119
187,122
187,154
187,162
187,163
187,168
187,171
187,172
187,176
187,178
187,181
187,182
187,184
187,186
188,94
188,97
188,102
188,104
188,155
188,168
188,178
188,182
188,186
188,187
189,19
189,37
189,44
189,51
189,63
189,66
189,73
189,77
189,79
189,82
189,83
189,90
189,91
189,137
189,138
189,169
190,32
190,134
190,143
190,161
190,169
190,170
190,185
191,94
191,95
191,96
191,97
191,100
191,104
191,112
191,153
191,155
191,168
191,171
191,178
191,181
191,182
191,186
191,187
191,188
192,19
192,25
192,27
192,32
192,35
192,44
192,52
192,72
192,90
192,91
192,98
192,116
192,127
192,131
192,134
192,135
192,137
192,139
192,142
192,148
192,156
192,169
192,185
192,189
193,169
193,192
194,19
194,24
194,25
194,29
194,31
194,35
194,37
194,44
194,51
194,72
194,90
194,91
194,98
194,116
194,127
194,131
194,135
194,137
194,139
194,148
194,150
194,156
194,169
194,185
194,189
194,192
194,193
195,25
195,27
195,35
195,37
195,44
195,51
195,88
195,90
195,91
195,98
195,116
195,118
195,127
195,131
195,134
195,137
195,139
195,142
195,144
195,145
195,148
195,156
195,162
195,169
195,185
195,189
195,192
195,194
196,25
196,88
196,105
196,106
196,112
196,114
196,115
196,119
196,121
196,122
196,126
196,127
196,133
196,134
196,136
196,137
196,144
196,146
196,148
196,174
196,184
197,15
197,44
197,90
197,136
